"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"1282 Landskrona";"totalt ålder";"kvinnor";19610;20172;20955;21859
"1283 Helsingborg";"totalt ålder";"män";57805;60226;63271;66633
"1283 Helsingborg";"totalt ålder";"kvinnor";61601;63163;65906;68711
"1284 Höganäs";"totalt ålder";"män";11168;11661;12101;12465
"1284 Höganäs";"totalt ålder";"kvinnor";11622;12196;12536;12833
"1285 Eslöv";"totalt ålder";"män";14574;15266;15906;16242
"1285 Eslöv";"totalt ålder";"kvinnor";14411;15171;15681;15937
"1286 Ystad";"totalt ålder";"män";12703;13282;13758;13987
"1286 Ystad";"totalt ålder";"kvinnor";13680;14116;14580;14784
"1287 Trelleborg";"totalt ålder";"män";19164;19990;21049;21469
"1287 Trelleborg";"totalt ålder";"kvinnor";19595;20330;21170;21504
"1290 Kristianstad";"totalt ålder";"män";36537;37514;39127;40578
"1290 Kristianstad";"totalt ålder";"kvinnor";38414;39026;40416;41248
"1291 Simrishamn";"totalt ålder";"män";9505;9474;9456;9260
"1291 Simrishamn";"totalt ålder";"kvinnor";9901;9944;9841;9645
"1292 Ängelholm";"totalt ålder";"män";18344;18794;19181;19669
"1292 Ängelholm";"totalt ålder";"kvinnor";19362;19888;20213;20560
"1293 Hässleholm";"totalt ålder";"män";24188;24633;25083;25380
"1293 Hässleholm";"totalt ålder";"kvinnor";24348;24748;25024;25185
"1315 Hylte";"totalt ålder";"män";5277;5272;5173;5285
"1315 Hylte";"totalt ålder";"kvinnor";5124;5099;5004;4993
"1380 Halmstad";"totalt ålder";"män";42567;43745;45315;47307
"1380 Halmstad";"totalt ålder";"kvinnor";44018;45213;46485;48225
"1381 Laholm";"totalt ålder";"män";11453;11659;11824;12018
"1381 Laholm";"totalt ålder";"kvinnor";11297;11494;11566;11763
"1382 Falkenberg";"totalt ålder";"män";19374;19960;20527;21280
"1382 Falkenberg";"totalt ålder";"kvinnor";19522;19914;20481;21153
"1383 Varberg";"totalt ålder";"män";26484;27578;28957;30162
"1383 Varberg";"totalt ålder";"kvinnor";26862;27881;29127;30260
"1384 Kungsbacka";"totalt ålder";"män";33271;35301;37250;38859
"1384 Kungsbacka";"totalt ålder";"kvinnor";33302;35743;37775;39360
"1401 Härryda";"totalt ålder";"män";15469;16290;17362;18198
"1401 Härryda";"totalt ålder";"kvinnor";15375;16105;17101;18093
"1402 Partille";"totalt ålder";"män";16397;16679;17458;18269
"1402 Partille";"totalt ålder";"kvinnor";16691;16935;17626;18259
"1407 Öckerö";"totalt ålder";"män";6084;6153;6280;6362
"1407 Öckerö";"totalt ålder";"kvinnor";5897;6076;6169;6283
"1415 Stenungsund";"totalt ålder";"män";10939;11649;12126;12647
"1415 Stenungsund";"totalt ålder";"kvinnor";10816;11541;12166;12628
"1419 Tjörn";"totalt ålder";"män";7597;7654;7656;7725
"1419 Tjörn";"totalt ålder";"kvinnor";7229;7300;7299;7410
"1421 Orust";"totalt ålder";"män";7733;7713;7709;7635
"1421 Orust";"totalt ålder";"kvinnor";7380;7472;7512;7419
"1427 Sotenäs";"totalt ålder";"män";4698;4616;4508;4506
"1427 Sotenäs";"totalt ålder";"kvinnor";4769;4667;4544;4425
"1430 Munkedal";"totalt ålder";"män";5319;5215;5248;5296
"1430 Munkedal";"totalt ålder";"kvinnor";5115;5031;4933;4947
"1435 Tanum";"totalt ålder";"män";6124;6141;6255;6249
"1435 Tanum";"totalt ålder";"kvinnor";6086;6112;6115;6097
"1438 Dals-Ed";"totalt ålder";"män";2578;2513;2413;2481
"1438 Dals-Ed";"totalt ålder";"kvinnor";2466;2387;2279;2283
"1439 Färgelanda";"totalt ålder";"män";3603;3518;3464;3356
"1439 Färgelanda";"totalt ålder";"kvinnor";3336;3261;3190;3146
"1440 Ale";"totalt ålder";"män";13081;13599;13904;14474
"1440 Ale";"totalt ålder";"kvinnor";12754;13201;13538;13949
"1441 Lerum";"totalt ålder";"män";17701;18469;19211;19892
"1441 Lerum";"totalt ålder";"kvinnor";17857;18623;19369;19879
"1442 Vårgårda";"totalt ålder";"män";5444;5499;5486;5589
"1442 Vårgårda";"totalt ålder";"kvinnor";5224;5397;5457;5500
"1443 Bollebygd";"totalt ålder";"män";3935;4139;4266;4375
"1443 Bollebygd";"totalt ålder";"kvinnor";3896;4040;4109;4277
"1444 Grästorp";"totalt ålder";"män";2938;2936;2933;2870
"1444 Grästorp";"totalt ålder";"kvinnor";2910;2873;2843;2760
"1445 Essunga";"totalt ålder";"män";2907;2833;2824;2788
"1445 Essunga";"totalt ålder";"kvinnor";2850;2818;2740;2750
"1446 Karlsborg";"totalt ålder";"män";3480;3428;3399;3446
"1446 Karlsborg";"totalt ålder";"kvinnor";3487;3452;3353;3340
"1447 Gullspång";"totalt ålder";"män";2948;2815;2691;2655
"1447 Gullspång";"totalt ålder";"kvinnor";2817;2691;2600;2585
"1452 Tranemo";"totalt ålder";"män";6118;6006;5926;5975
"1452 Tranemo";"totalt ålder";"kvinnor";5870;5736;5661;5665
"1460 Bengtsfors";"totalt ålder";"män";5322;5109;4982;4911
"1460 Bengtsfors";"totalt ålder";"kvinnor";5194;4971;4809;4645
"1461 Mellerud";"totalt ålder";"män";4986;4908;4692;4620
"1461 Mellerud";"totalt ålder";"kvinnor";4821;4715;4487;4316
"1462 Lilla Edet";"totalt ålder";"män";6693;6604;6473;6747
"1462 Lilla Edet";"totalt ålder";"kvinnor";6317;6232;6105;6284
"1463 Mark";"totalt ålder";"män";16458;16726;16907;16974
"1463 Mark";"totalt ålder";"kvinnor";16557;16868;16938;16913
"1465 Svenljunga";"totalt ålder";"män";5326;5268;5246;5306
"1465 Svenljunga";"totalt ålder";"kvinnor";5203;5137;5042;5059
"1466 Herrljunga";"totalt ålder";"män";4833;4742;4767;4753
"1466 Herrljunga";"totalt ålder";"kvinnor";4653;4501;4547;4623
"1470 Vara";"totalt ålder";"män";8128;8130;8051;7977
"1470 Vara";"totalt ålder";"kvinnor";7881;7831;7711;7620
"1471 Götene";"totalt ålder";"män";6610;6587;6732;6643
"1471 Götene";"totalt ålder";"kvinnor";6373;6372;6491;6437
"1472 Tibro";"totalt ålder";"män";5353;5362;5318;5491
"1472 Tibro";"totalt ålder";"kvinnor";5271;5309;5242;5373
"1473 Töreboda";"totalt ålder";"män";4753;4749;4636;4679
"1473 Töreboda";"totalt ålder";"kvinnor";4673;4619;4477;4393
"1480 Göteborg";"totalt ålder";"män";233478;241780;254720;268514
"1480 Göteborg";"totalt ålder";"kvinnor";241443;247977;259031;272631
"1481 Mölndal";"totalt ålder";"män";28152;29191;30244;31369
"1481 Mölndal";"totalt ålder";"kvinnor";28927;29747;30729;31558
"1482 Kungälv";"totalt ålder";"män";18908;19408;20563;21114
"1482 Kungälv";"totalt ålder";"kvinnor";19004;19491;20678;21220
"1484 Lysekil";"totalt ålder";"män";7456;7319;7247;7111
"1484 Lysekil";"totalt ålder";"kvinnor";7345;7312;7274;7188
"1485 Uddevalla";"totalt ålder";"män";24520;24953;25571;26532
"1485 Uddevalla";"totalt ålder";"kvinnor";25163;25554;26297;26985
"1486 Strömstad";"totalt ålder";"män";5610;5781;5923;6412
"1486 Strömstad";"totalt ålder";"kvinnor";5608;5788;5885;6282
"1487 Vänersborg";"totalt ålder";"män";18445;18421;18358;18974
"1487 Vänersborg";"totalt ålder";"kvinnor";18580;18602;18499;18916
"1488 Trollhättan";"totalt ålder";"män";26695;26988;27727;28563
"1488 Trollhättan";"totalt ålder";"kvinnor";26242;26842;27521;28366
"1489 Alingsås";"totalt ålder";"män";17286;17933;18660;19461
"1489 Alingsås";"totalt ålder";"kvinnor";18041;18548;19136;19727
"1490 Borås";"totalt ålder";"män";47832;49100;50891;52875
"1490 Borås";"totalt ålder";"kvinnor";50318;51121;52403;54147
"1491 Ulricehamn";"totalt ålder";"män";11170;11239;11496;11761
"1491 Ulricehamn";"totalt ålder";"kvinnor";11129;11197;11342;11483
"1492 Åmål";"totalt ålder";"män";6321;6241;6063;6170
"1492 Åmål";"totalt ålder";"kvinnor";6508;6475;6232;6156
"1493 Mariestad";"totalt ålder";"män";11843;11961;11845;12025
"1493 Mariestad";"totalt ålder";"kvinnor";11900;11972;11896;11896
"1494 Lidköping";"totalt ålder";"män";18232;18620;18929;19338
"1494 Lidköping";"totalt ålder";"kvinnor";18709;18906;19119;19423
"1495 Skara";"totalt ålder";"män";8977;9119;8986;9356
"1495 Skara";"totalt ålder";"kvinnor";9334;9476;9328;9391
"1496 Skövde";"totalt ålder";"män";24384;24975;25782;26841
"1496 Skövde";"totalt ålder";"kvinnor";25021;25178;25620;26293
"1497 Hjo";"totalt ålder";"män";4382;4411;4382;4419
"1497 Hjo";"totalt ålder";"kvinnor";4463;4442;4459;4466
"1498 Tidaholm";"totalt ålder";"män";6285;6304;6312;6358
"1498 Tidaholm";"totalt ålder";"kvinnor";6300;6349;6260;6259
"1499 Falköping";"totalt ålder";"män";15329;15534;15740;16118
"1499 Falköping";"totalt ålder";"kvinnor";15567;15706;15773;16067
"1715 Kil";"totalt ålder";"män";5959;5891;5865;5933
"1715 Kil";"totalt ålder";"kvinnor";5933;5912;5841;5952
"1730 Eda";"totalt ålder";"män";4393;4418;4358;4324
"1730 Eda";"totalt ålder";"kvinnor";4277;4252;4166;4129
"1737 Torsby";"totalt ålder";"män";6752;6539;6266;6100
"1737 Torsby";"totalt ålder";"kvinnor";6652;6407;6148;5892
"1760 Storfors";"totalt ålder";"män";2335;2297;2205;2146
"1760 Storfors";"totalt ålder";"kvinnor";2270;2229;2068;1960
"1761 Hammarö";"totalt ålder";"män";7156;7307;7506;7648
"1761 Hammarö";"totalt ålder";"kvinnor";7081;7182;7420;7608
"1762 Munkfors";"totalt ålder";"män";2039;1973;1890;1841
"1762 Munkfors";"totalt ålder";"kvinnor";2047;1963;1881;1815
